xD,zD
0.0,0.0
0.19215555555555563,1.0450444444444444
0.38591111111111104,2.0170244444444445
0.5843964444444444,2.9016666666666664
0.780906,3.3934444444444445
0.9735266666666665,3.9642666666666666
1.1408800000000001,5.336466666666667
1.2840488888888886,5.778377777777778
1.5504288888888889,6.078777777777778
1.7538066666666667,6.121888888888889
1.9374288888888889,6.245311111111111
2.1374644444444444,6.744822222222222
2.2352222222222218,6.795
2.3857399999999997,7.025222222222221
2.6019244444444443,6.9543333333333335
2.933613333333333,7.1908
3.0960355555555554,7.268244444444445
3.2957244444444442,7.342466666666666
3.3667022222222225,7.392222222222222
3.7007466666666664,7.648555555555555
3.902013333333333,7.768466666666666
4.081768888888889,7.8256000000000006
4.237768888888889,7.5662666666666665
4.416413333333333,7.880288888888889
4.606546666666667,7.980911111111111
4.723391111111111,8.011022222222222
5.069191111111111,8.15631111111111
5.2029911111111105,8.112777777777778
5.398346666666666,8.306444444444443
5.579124444444444,8.302066666666667
5.824168888888888,8.283866666666666
5.941479999999999,8.342511111111111
6.251991111111112,8.389133333333332
6.3861244444444445,8.412288888888888
6.55228,8.453555555555555
6.809057777777778,8.488866666666667
6.919124444444444,8.502577777777777
7.0884133333333335,8.511466666666665
7.421302222222222,8.506933333333333
7.53079111111111,8.532822222222222
7.786502222222222,8.572844444444444
8.001457777777777,8.634488888888889
8.105102222222223,8.635444444444444
8.343146666666668,8.644844444444445
8.423013333333332,8.607333333333335
8.612257777777778,8.568644444444445
8.824657777777777,8.553377777777778
9.184702222222223,8.132377777777778
9.390346666666666,8.110133333333334
9.586413333333333,8.143955555555555
9.59619111111111,8.161288888888889
9.861546666666666,8.148311111111111
10.16868,8.174955555555554
10.24828,8.160533333333333
10.464146666666666,8.187866666666666
10.743235555555556,8.2346
10.86339111111111,8.25308888888889
11.051102222222221,8.311288888888889
11.274257777777777,8.336155555555557
11.493902222222223,8.39711111111111
11.680146666666667,8.423688888888888
11.82339111111111,8.468422222222221
12.004991111111112,8.491333333333333
12.281835555555556,8.594711111111112
12.484168888888888,8.662355555555555
12.625835555555556,8.678533333333334
12.774880000000001,8.704977777777776
13.015924444444442,8.743466666666666
13.259768888888889,8.766266666666667
13.412991111111111,8.762822222222221
13.666413333333333,8.7958
13.882302222222222,8.8104
14.052524444444442,8.816533333333332
14.17419111111111,8.874977777777778
14.297635555555557,8.822844444444444
14.643302222222223,8.149866666666666
14.745057777777777,8.179555555555556
15.048791111111113,8.241266666666666
15.212768888888888,8.264955555555556
15.406946666666666,8.290644444444444
16.513191111111112,8.343666666666666
16.710124444444446,8.364511111111112
16.899702222222224,8.36728888888889
17.174613333333333,8.370266666666666
17.261035555555555,8.400955555555555
17.530591111111114,8.432022222222221
18.534502222222223,8.208644444444445
18.75879111111111,8.238755555555555
18.954191111111115,8.278022222222221
18.98336888888889,8.28791111111111
19.368813333333335,8.315333333333333
19.56456888888889,8.309377777777778
19.75124388888889,8.32022222222221
19.97580111111116,8.314955555555556
20.08814666666664,8.3008
